Activity,Name,Address,Postal Code,Town
,Artielle/C.,"Place Curé Borremans, 19",7861,Lessines / Lessen
insurance agents,Paulca sprl,"Rue Curiale / Pastorijstraat, 10",7700,Mouscron / Moeskroen
,Peeters/Joseph,"Rue des Etangs, 25",1430.0,Rebecq
labour and employment administrations,Fiducial Expertise,,2060,Antwerpen / Anvers
H?tels,Faja Lobi,Vlaanderenstraat 2-4,9000,Gent
,Fondation pour l'architecture,"Rue de l'Ermitage / Kluisstraat, 55",1050,Ixelles / Elsene
Public relations consultants,Dialogic sa [DIALOGIC S.A.],"Groenkraaglaan / Avenue du Col-Vert, 5",1170,Watermaal-Bosvoorde / Watermael-Boitsfort
Cadeaux - Fabr. & Gross,Cambier D,Teirlinckstraat 20 Bo?te 2,9900,Eeklo
Vidéo - Productions & réalisations,Gun Productions BVBA,Solvynsstraat 3,2018,Antwerpen
Copies,Konica Minolta Business Solutions (Belgium) NV,Excelsiorlaan 10,1930,Zaventem
Optique - Fabr. & Gross,DB Optical,Kortedreef 7,2970,Schilde
Carrosseries (Réparations) - Autos,Dethier B SA,Chaussée de Wavre 285,4520,Wanze
Avocats,Demeestere Rik,Bissegemstraat 61,8560,Gullegem
agencies and sales representatives,Briffaerts bvba,"Wildenhoge, 6/A",3020,Herent
Banques d'epargne,Dhondt A &amp W BVBA,Dorp 38 Bo?te 5,9860,Oosterzele
clothing and articles for future pregnant women and babies (retail),Notteboom/Sofie,,9900,Eeklo
,Dams Alex bvba [DAMS ALEX CHAPE-INDUSTRIEVLOEREN],"Ten Beukeboom, 16",9400.0,Ninove
Fromages - Fabr. & Gross,Kapas BVBA,Doornpark 9,9120,Beveren-Waas
,MTO [M.T.O.],"Bresserdijk, 31",2400,Mol
Experts-comptables,Raes D,Marconistraat 3,8400,Stene