Activity;Name;Address;Postal Code;Town
Personnel (Formation & Promotion de);Zzmogh VZW;Hubert Fr?re-Orbanlaan 150;9000;Gent
Application service providers asp;Zzlite;;;
Bureaux d'études - Equipements techniques;ZZIP BVBA;Argentini?laan 49 Bo?te B;2030;Antwerpen
Escaliers;ZZED NV;Winkelstraat 2;3720;Kortessem
Portes;Zyx CVBA;Parochiestraat 85;9472;Iddergem
Electrical installation work;Electro Zwijsen Nv;;;
Gaz industriels;Zwick Roell Belux CV;Edingensesteenweg 158;1500;Halle
Camping (Articles de);DHATI BVBA;Rozenberg 110;2400;Mol
Scouts (Equipements pour);De Zwerver;Turnhoutsebaan 19;2400;Mol
Fitness & gymnastique - Appareils & Access;Climax;Mechelsesteenweg 8;2840;Rumst
Meubles de jardin;Climax;Mechelsesteenweg 8;2840;Rumst
pools;Van Laer-Mazet/Chris;Zandvlietse Dorpstraat, 19;2040;Antwerpen / Anvers
Plastiques (Articles) - Travail d';Zweko BVBA;Goolderheideweg 11;3950;Bocholt
aeroports;Albatros Zweefvliegclub;Luchtvaartstraat 100 Bo?te 4;3500;Hasselt
restaurants;P.J.F. BVBA;;9052;Zwijnaarde
Carrosseries (Réparations) - Autos;Brugs Motoren Bedrijf nv;Oostendse Steenweg 115;8000;Brugge
Poissonneries - Gross;Zeebrugse Visveiling NV;Noordzeestraat 201;8380;Zeebrugge
Salles (Location de);Zuster Agnes;Schapekoppenstraat 16;2500;Lier
Transports d'autos;YDA-Trans SPRL;Avenue Emile de Beco 106 Bo?te 8;1050;Ixelles
Eclairage (Appareils d') - Fabr. & Gross;Zumtobel Lighting NV;Rijksweg 47;2870;Puurs
Travail adapté (Entreprises de);Die Zukunft;Meyerode 73;4770;Meyrode
Laitiers (Produits) - Fabr.& Gross;De Boeck Zuivelhandel BVBA;Kronenburgstraat 90;2000;Antwerpen
Laitiers (Produits) - Fabr.& Gross;St-Jozef Zuivelfabriek NV;Maaseikerlaan 28;3680;Neeroeteren
Thé?tre (Troupes de);Theater Zuidpool-RVT;Lange Noordstraat 11;2000;Antwerpen
Salles (Location de);Zuiderterras NV;Ernest Van Dijckkaai 37;2000;Antwerpen
Tavernes;Brasserie Bleu Blanc;Maurits No?straat 7;3050;Oud-Heverlee
Agences artistiques;The Booking Agency;Hendrik Kuijpersstraat 49;2640;Mortsel
Voyages (Agences de);Zuiderhuis ('t) Het reishuis voor de actieve reiziger;Hubert Fr?re-Orbanlaan 34;9000;Gent
humanitarian;Kids;;2018;Antwerpen / Anvers
management consultants;ZUCCA Consulting SPRL;;4550;Nandrin
hotels - installation & equipment;Zubair Furnishing;;9830;S.Martens-Latem
Transports-Général;Z-Services;Meerkensstraat 61;3650;Lanklaar
Imprimeries - Général;Z-Service BVBA;Slachthuisstraat 30;2300;Turnhout
Conseil fiscaux;Strobbe M;Ingelmunstersteenweg 9;8760;Meulebeke
Etanchéité (Travaux d');Zenner Restauratietechniek bvba;Varenstraat, 11;9032;Gent / Gand
Assurances (Intermédiaires d');Scheir P Zakenkantoor;Groenplein 11 Bo?te 5;9060;Zelzate
advertising agencies & consultants;Zoz communicatie & reclame;;3800;Sint-Truiden
Bath salts;Zoutman Industries Nv;;;
Sels - Fabr. & Gross;Zoutman NV;Delaerestraat 41 Bo?te 3;8800;Roeselare
Salles (Location de);Zotte Morgen;Larumseweg 103;2440;Geel
Garages;Mercedes-Benz Zottegem;Industrielaan 14;9620;Zottegem
Lettres & lettrage;Zo-Te-Zien BVBA;Maagd van Gentstraat 10;9050;Gentbrugge
Papiers peints - Dét;Zora NV;Pittemsesteenweg 38;8700;Tielt
Exhibition construction, trade fair and exhibition stands;Zooté/Ingo;Grote Baan, 44;3530;Houthalen-Helchteren
birds & supplies;Corten Zoopark [BRENTON];Paddekens, 1;2260;Westerlo
Photographie publicitaire;ZoomZone!;Groenestraat 112;8210;Zedelgem
disc-jockeys;Zoom Sonorisation;;5340;Gesves
Audiovisuel - Réalisations;Zoom Production;Avenue Hansen Soulie 76;1040;Etterbeek
pet shops - retail;Zoomart Oostende NV;;8400;Oostende
Protection solaire intérieure;De Wever;Polderstraat 2D;8310;Sint-Kruis
Décoration & éclairage de jardin;Zonnewende;Bellegemsestraat 81;8510;Bellegem
Maisons de repos;Seniorenresidentie Zonneweelde;Lange Dreef 50;2820;Rijmenam
sunlamp tanning;De Zonnetempel bvba;Diestsestraat, 72;3000;Leuven / Louvain
V?tements de travail - Location & Entret;Zonneschijn NV;Statiestraat 84-86;9870;Zulte
sunlamp tanning;Zonnecenter Tropical bvba;Gentse Steenweg, 406;9300;Aalst / Alost
Pubs;Zonnebloem;;8020; Oostkamp
Publicité (Agences de);The Zone Zero Studio;Boomkensstraat 207 Bo?te 6;3500;Hasselt
Publicité (Agences de);Spirit SCRL;Rue d'Horrues 155;7090;Braine-Le-Comte
advertisement (painting and decoration);Zonepub;Dieweg, 85/B;1180;Uccle / Ukkel
saunas - installations;Zondag Zonnevakmensen;;NL-5021SE;Tilburg
Cliniques & H?pitaux;ZOL Campus A Dumont;Stalenstraat 2;3600;Genk
travel agencies;Voyages Wasteels [ZOHRA TRAVEL];Nederkouter, 77;9000;Gent / Gand
restaurants;Ciofi/Max [ZOFF];Mechelsestraat, 25;3000;Leuven / Louvain
Evénements (Organisation d');Zanzibar;Pottenbrug 2;2000;Antwerpen
Géom?tres-experts;Verheyen Carl;Diesterstraat 123;3980;Tessenderlo
Cliniques & H?pitaux;NOORD-LIMBURGS REVALIDATIECENTRUM (N.L.R.C.) ZIEKENHUIS MAAS EN KEMPEN (CAMPUS BREE);Rode Kruislaan 40;3960;Bree
Meubles - Général;Zeebrugse Meubelcentrale BVBA;Heiststraat 110;8380;Zeebrugge
personnel recruitment & -selection;Zloty Workforces BVBA;;9831;Deurle
Eclairage (Appareils d') - Fabr. & Gross;Z-Line Belgium SA;Rue de la Station 141;1640;Rhode-Saint-Gen?se
Emballage & conditionnement ? fa?on;Zuidkempische Werkplaatsen;Herenthoutseweg 136;2200;Herentals
Banques d'epargne;Zakenkantoor Vanhoof NV;Bergstraat 56;1910;Berg
Syndics d'immeubles;Immo Robijns BVBA;Grote Markt 7;3440;Zoutleeuw
Banques;Zakenkantoor Vandenberghe NV;Schoolstraat 1;8800;Roeselare
Meubles de jardin;Zitterik;Stokstraat 54;9240;Zele
Garnisseurs;Zisla BVBA;Lostraat 148;1760;Roosdaal
refracting products (manufacture;Zircor Electrofusion;Rue Martin, 6;7333;Saint-Ghislain
Importation - Exportation;Zircon Minerals Chemicals SA;Avenue Reine Astrid 77;1410;Waterloo
letters & lettering;Ferla Franky;;8940;Geluwe
Internet - Création de websites;Zionmedia BVBA;Hovenierstraat 44;9940;Evergem
computers: consultants;Zintronix;;4000;Li?ge / Luik
Gestion & organisation de sociétés - Bureaux conseil;A+ Zinobis Consultancy BVBA;Sint-Ignatiusstraat 24;9120;Kallo
photo journalists;Zima Fotografie;Eikenlaan, 8;3910;Neerpelt
taverns;Zilvermeerhaven Port Aventura BVBA;;2400;Mol
Maisons de repos;Zilverlinde (De);Dreef 2;9860;Scheldewindeke
leisure articles - retail;Appels Gabrielle;;2440;Geel
Salles (Location de);Zilveren Spoor Hippisch Centrum;Overheulestraat 235;8560;Moorsele
Enseignement primaire;Gemeenschapsonderwijs Zilverberk;Pastoor Bernaertsstraat 28;1500;Halle
Salles (Location de);Beeckmans Traiteur NV;Nieuwe Steenweg 60;9140;Elversele
V?tements pour enfants;Zie-Zo;Mechelsesteenweg 541;3020;Herent
Uncategorized;Clowns voor Kankerpatientjes;Edestraat, 7;8310;Brugge / Bruges
Freight forwarding agencies;Ziegler Nv;;;
Transport services;Ziegler Nv;;;
Mazout;PVG Belgium [ZIBRO KAMIN];Industrielaan 55;2900;Schoten
importexport;Zhao Shi;;2630;Aartselaar
Graphistes;ZGC;Rue de Jumet 66;6041;Gosselies
Photographie aérienne;Zero Gravity Aerial SPRL;Rue Claus 36;7050;Jurbise
Yachts & Bateaux de plaisance - Construction;Zeydon;Hoge Mauw 170;2370;Arendonk
Thérapies douces;Wensink Ester;Burgemeester Meirsonstraat 86;9070;Destelbergen
Salles (Location de);Zevensterre (De);Zevensterstraat 34;9270;Laarne
Authoring tools;Zeus Software Engineering Nv;;;
marketing - consultants;Zettu BVBA;;8870;Izegem
cars and lorries  seats;Eblo Seating;;2000;Antwerpen / Anvers
Salles de bains - Aménagement & Access;F And F NV;Rozestraat 16;8770;Ingelmunster
lawyers;Bielen Christophe;;3500;Hasselt
Fourrures;Komingsoen BVBA;Berlaarsesteenweg 39A;2500;Lier
data processing - consultants;Zeron BVBA;;3000;Leuven
Graphistes;Zeppo;Heuvelstraat 130;2530;Boechout
Meubles pour jeunes;Zeppelin;Hulleken 19;9940;Evergem
Musique - Editeurs;Zephyrus VZW;Rijsenbergstraat 134;9000;Gent
synthetic pearls (manufacture;Zephir Artiste;Rue Louis Delhove / Louis Delhovestraat, 9;1083;Ganshoren
Produits chimiques - Fabr.& Gross;ZEP;Petrus Basteleusstraat 2;1600;Sint-Pieters-Leeuw
Laboratoires - Machines, appareils & Fournit;ZenTech SA;Avenue Pré Aily 10;4031;Angleur
Software;Zen Soft Belgium NV;Pastoor Paquaylaan 184;3550;Heusden
SAUNAS;Zenses;Langestraat 95 Bo?te 2;2240;Zandhoven
Software;Zenon Productions BVBA;Dorpsstraat 109 Bo?te 1;2960;Sint-Lenaarts
Vitrines d'exposition;Zeno Signs BVBA;Belpairestraat 72;2600;Berchem
organisation of events;H.D.O. Communication sprl;;1190;Forest / Vorst
upholstery and trim for automobiles;Zenner/Erwin [ZENNER AUTOMOTIVE];Zelzatestraat, 61;9960;Assenede
management consultants;Zennelink-Starcentrum Sociale Economie CVBA;;1800;Vilvoorde
computers: consultants;M.G. Distribution;Rue Général Ruquoy, 2;7500;Tournai / Doornik
Publicité (Agences de);Zenith Optimedia NV;Clos Lucien Outers 11-21;1160;Auderghem
Media supply stations for hospitals;Zenith Media Nv;;;
radio telephony;ZENITEL NV-SA, Maatschappelijke Zetel - Si?ge Social [SAIT-STENTO];Pontbeek, 63;1731;Asse
Personnel (Formation & Promotion de);Zenit. Training, Consultancy &amp Coaching NV;Dolfijnstraat 8;2018;Antwerpen
Massage;Gilles Frederika;Rue Saint-Martin 1;5080;Emines
baby accessories - retail;Dal Sasso-Binard/A. [ZENECO];Rue de la Justice, 188;6200;Ch?telet
Cheveux (Traitement des);Zen Coiffure;Avenue Louise 170;1050;Ixelles
restaurants;Zen Chi Bar;;9000;Gent
Sanitaires (Appareils) - Fabr. & Gross;Zellien-Fabri NV;Antwerpsesteenweg 45;2350;Vosselaar
Insurances - companies and representatives;Zelia NV-SA;Woluwelaan, 148;1831;Machelen
Optique - Fabr. & Gross;Carl Zeiss NV;Ikaroslaan 49;1930;Zaventem
Autocars (Exploitation d');Zeimers A.G. SA;Halenfeld 10;4771;Heppenbach
bags (plastics);Zegel Impex BV;;NL-3260AC;Oud-Beijerland
real estate (seasonal and temporary rentals);Zeewind;Klemskerkestraat, 26;8450;Bredene
Fresh fish;Andr?© Zeevisgroothandel Nv;;;
Apartment buildings;Zeeuws Nv;;;
Camping (Terrains de);Vanhooren E &amp G;Sluisvaartstraat 50;8430;Middelkerke
video (production and direction);Zee.Producties;Prins Boudewijnstraat 3;8400;Oostende
Centres médicaux;Zeepreventorium;Koninklijke Baan 5;8420;Klemskerke
Tavernes;Zeepaardje ('t);Zeedijk 48-49;8370;Blankenberge
Boulangeries & p?tisseries;Zeelandia NV;Nijverheidsstraat 58-60;2160;Wommelgem
holiday farms & guest houses;Zeehuis ('t);;8670;Koksijde
Machines pour la sérigraphie & fournitures;HSB NV;Tessenderlosesteenweg 107;3583;Paal
V?tements publicitaires;Stevens L &amp B BVBA;Iddergemstraat 59;9470;Denderleeuw
Software;Bossier E;Stormvogelstraat 9;8380;Lissewege
Import - export;Heboss International;;2000; Antwerpen
Décoration d'intérieurs;Zeberg J NV;Melkmarkt 37-39;2000;Antwerpen
Informatique - Ordinateurs personnels;ZEB Computers NV;Dorp 1A;2288;Bouwel
Si?ges;De Man Zetels BVBA;Hoogveld 26;9200;Dendermonde
Maisons de repos;St. Vincentius;Kanunnik Petrus Jozef Triestlaan 4;9080;Zaffelare
Grandes cuisines & restaurants (Produits d'alimentation pour);ZB Centrale Brugge NV;Sint-Pieterszuidstraat 65;8000;Brugge
Chaussures & pantoufles - Produits d'entretien & Fournit;Zazine;Gravinnestraat 15;8770;Ingelmunster
Thérapies douces;DOJO ZEN BRUXELLES ASBL;Rue Eug?ne Cattoir 11;1050;Ixelles
Peinture (Entrepreneurs de);Zaudig;Avenue Ernest Masoin 131;1020;Bruxelles
Outillage-Général;Zasco CV;Wassenhovestraat 3;9620;Zottegem
Tea-Rooms;Zarza BVBA;Bondgenotenlaan 92;3000;Leuven
Software;Zappware NV;Via Media 4;3500;Hasselt
advertising agencies & consultants;Zap+ SPRL;;1050;Elsene
Cafés;Club Zanzibar;Casinostraat 7-9;8370;Blankenberge
Panels - stratified;Zanzibar;;1500; Halle
scaffolding;Zanzib BVBA;;2140;Borgerhout
dogs & cats - grooming;Garage Pironnet;Grand Route, 2;4140;Sprimont
Salles (Location de);Zandwegemolen BVBA;Oude Oostendse Steenweg 91;8000;Brugge
Camping (Terrains de);Zandpolder;Zandstraat 103A;8450;Bredene
Entrepreneurs - Démolitions;R.S.B. BVBA;Aardebrug 28;3210;Lubbeek
Experts-comptables;Zandecki Accountants BVBA;Guido Gezellelaan 113;3550;Heusden
Salles (Location de);Zandberghoeve BVBA;Zandberg 12;8730;Oedelem
furniture;De Zandbank;;8630;Veurne / Furnes
transport - general;Z.A.M. Logistics BVBA;;3545;Halen
Services de secrétariat pour entreprises;Zamina;Koning Albertlaan 157C;9080;Lochristi
Automobile and other vehicle jacks, including hydraulic jacks;Zaman Nv;;;
Portes;Zaluco SA;Zoning Industriel 2i?me rue;6040;Jumet
Http://www.valisettes.be;United Packaging Industries bvba;;3150;Haacht
Assurances (Courtiers d');Zakenkantoor Van Reeth;Guido Gezellestraat 106;2630;Aartselaar
Distributeurs automatiques;Van Reeth Zakenkantoor;Guido Gezellestraat 106;2630;Aartselaar
Distributeurs automatiques;Van Haecke Zakenkantoor BVBA;Egemstraat 26;8740;Pittem
Assurances (Courtiers d');Vangenechten Zakenkantoor BVBA;Oudstrijderslaan 12;3940;Hechtel-Eksel
Distributeurs automatiques;Vandille Verzekeringen;Malehoeklaan 70 Bo?te 0001;8310;St-Kruis
real estate (local and foreign agents);Van Cauwenberghe/Philippe;Rijsenbergstraat, 41;9000;Gent / Gand
Insurance agents and brokers;Citibank [ZAKENKANTOOR LUC SMET];Kerkstraat, 26;9220;Hamme
Assurances (Courtiers d');Louwet &amp Partners Zakenkantoor BVBA;Koersel Dorp 59;3582;Koersel
Assurances (Courtiers d');Geers Zakenkantoor;Henri Caronstraat 10;1560;Hoeilaart
Pr?ts hypothécaires & crédit ? la consommation;Dierckx Zakenkantoor NV;Langdorpsesteenweg 222;3201;Langdorp
Assurances (Courtiers d');Coenen Zakenkantoor BVBA;Zes Septemberstraat 24;3560;Lummen
real estate - belgium;Immo Claes BVBA;Laar 30;2630;Aartselaar
insurance companies;Z.A. Verzekeringen;Jan Van Rijswijcklaan, 162;2020;Antwerpen / Anvers
wines & spirits - retail;Zagavini;;9000;Gent
Selliers & bourreliers;Knaepen M &amp I;Vliegeneinde 20;3510;Spalbeek
Equitation & accessoires;Jaak's Saddlery;Rinkvenseheide 15;2970;Schilde
Tapis d'orient;Ach?te Anciens Tapis;Rue des Minimes 20;1000;Bruxelles
Transports de machines & pi?ces indivisibles;Zeebrugge A.C.S. NV;Alfred Ronsestraat 100;8380;Zeebrugge
Eaux (Traitement des);RD Waterbehandelingen;Molenstraat 99;3730;Hoeselt
Traitement de surface;AANNEMINGEN BETONBORINGEN ZABO NV;Doenaertstraat 2;8510;Marke
Musique (Instruments de) - Dét;Zaba Musique;Dessous la Ville 2;6800;Libramont
Horloges - Dét. Entret. & Réparat;Yzerbyt;Moerkerkse Steenweg 163;8310;Sint-Kruis
automobile - parts & access. - retail;Verbesselt Y;;1830;Machelen
Publicité - Cadeaux publicitaires & d'affaires;Van Gorp &amp Zn NV;Antwerpsesteenweg 199;2350;Vosselaar
Ordinateurs;Paul Yves;Rue Joseph Lemaire 14;4030;Grivegnée
Publicité - Films;Bex Y;Koolkapperstraat 54;9000;Gent
Papeteries - Dét;Yvelinck NV;Tolpoortstraat 1;9800;Deinze
Informatique - Consultants (Bureaux conseil);Yuniit Solutions;Baron Ruzettelaan 240;8310;Assebroek
Graphistes;Yumigo Designers;Kroonstraat 170 Bo?te 202;2140;Borgerhout
weightloss and beauty centres;Paramed 2000;Rue Heideken / Heidekenstraat, 72;1083;Ganshoren
Sonorisation (Matériel de) - Location;Yuca Sound and Light BVBA;Stortstraat 6;3920;Lommel
computers: software;Y T S;Sint-Pietersstatiedreef, 57;8000;Brugge / Bruges
household: furnishings;Ytor bvba;Smidsestraat, 11;8430;Middelkerke
Aerated concrete din;Ytong Nv;;;
Exports of textiles;Y.S.R.;Rue de la Clinique / Kliniekstraat, 30;1070;Anderlecht
Garnisseurs;YSR SPRL;Rue de la Clinique 30;1070;Anderlecht
Evénements (Organisation d');Y services SPRL;Chaussée d'Alsemberg 1198;1180;Uccle
computer systems: networks;Y S Accounting & Computing nv [Y.S. CONSULTING & COMPUTING];Sportpleinstraat, 1;3700;Tongeren / Tongres
Grues - Location;Aqua Ypsoroof SA;Rue Montavaux 135;7080;Frameries
women clothing (large sizes);Ypsilon-Fashion;;8670;Koksijde
Electriciens - Installateurs;YP-Service;Zandstraat 15;3500;Hasselt
automobile racing & accessories;AC Targa Florio VZW;;8900;Ieper
Tourisme - Curiosités;Flanders Battlefield Tours;Slachthuisstraat 58;8900;Ieper
Electricité - C?blage;Ypes NV;Bargiestraat 14;8900;Ieper
data processing - computer maintenance & repair;Ypaq System SPRL;;7390;Quaregnon
data processing - consultants;Youston BVBA;;3590;Diepenbeek
data processing - computers;YouShop BVBA;;2000;Antwerpen
security guards;Yoursafety BVBA;;2321;Meer
Déménagements (Matériel pour) - Location;Vandergoten J-Ph sa-nv;Rue Arthur Maes 60;1130;Bruxelles
Titres-services (Services par);Your Freetime;Koning Albertstraat 33;8500;Kortrijk
real estate - belgium;Eden Consult SPRL;;1050;Elsene
advertising agencies & consultants;Your Adgency;;3070;Kortenberg
Internet - Création de websites;Youniware;Vijverhoflaan 30;8200;Sint-Michiels
Horloges - Dét. Entret. & Réparat;YoungWatch;Dampoortstraat 2;9000;Gent
Fleurs & plantes - Culture & Gross;Young Plants International BVBA;Grensstraat 1;2290;Vorselaar
data processing - consultants;Yottaxpert BVBA;;3020;Winksele
baby accessories - mfg. & whol.;Jaspers bvba;Lavendelstraat, 27;9400;Ninove
measuring;Yokogawa Belgium sa-nv;;1930;Zaventem
YOGA;Soma VZW;Bergjesbos 18;8310;Assebroek
YOGA;Gits P;Moervaartveer 2;9160;Eksaarde
YOGA;Ligue Francophone da Hatha Yoga;Clos des Tuileries 10B;7000;Mons
ladies' lingerie;Blue;;3500;Hasselt
Copies;Ymro Design;Bormtestraat 2A;9190;Stekene
Métallisation;Vabo;Industrieweg (Daelemveld) 1020;3540;Herk-De-Stad
Traitement de surface;Vabo-Yma NV;Industrieweg (Daelemveld) 1020;3540;Herk-De-Stad
advertising - promotional items & business gifts;YK Concept;;1090;Jette
direct marketing consultants and agencies;YS Belgie;Vaartdijk, 3;3018;Leuven / Louvain
Fitness centres;Yeti Sportjoy;Leopoldlaan 60;9900;Eeklo
Ski (Pistes & écoles de);Yeti Ski &amp Snowboard;Dr?ve Olympique 11;1070;Anderlecht
Hi-fi & Stéréo - Dét;Yestore Waterloo;Chaussée de Bruxelles 63;1410;Waterloo
Evénements (Organisation d');Yes Sir ! SPRL;Quai des Usines 155 Bo?te 1;1000;Bruxelles
Meubles de bureau;Yess Experts Conseils Immobiliers;Dr?ve de l'Infante 79;1410;Waterloo
data processing - consultants;Yess BVBA;;3830;Wellen
consultants in organisation and management;Adelfi Consulting;Kontichstraat, 196;2650;Edegem
wedding gift lists;Yes I Do;Rue des Garennes / Konijnenwarandestraat, 59;1170;Watermael-Boitsfort / Watermaal-Bosvoorde
Personnel recruitment services;Young Executive Recruitment;Rue de la Fusée / Raketstraat, 100;1130;Bruxelles / Brussel
Posters;Y? print;Roger Vansteenbruggestraat 88;8790;Waregem
Gestion & organisation de sociétés - Bureaux conseil;YEO Management BVBA;Platte Lostraat 307A;3010;Kessel-Lo
Produits chimiques - Fabr.& Gross;YDS Chemicals NV;Meersstraat 166;9070;Heusden
Eaux (Traitement des);Ydroteq NV;Doornpark 15;9120;Beveren-Waas
Bapt?me (Articles de;Yol?ne+;Lavendelstraat 27;9400;Ninove
Plantes & fleurs (Location de);Y.D. Décorateurs de L'éphémere SPRL;Chemin du Bois de Hal 1;1420;Braine-L'Alleud
Internet - Création de websites;Yccon;Kapelstraat 1;2970;Schilde
Ordinateurs;Yccom PC;Sluisstraat 18;8300;Westkapelle
Ordinateurs;YB Development SPRL;Avenue Félix Lacourt 220;1390;Grez-Doiceau
marketing - consultants;Yaxo SPRL;;6060;Gilly
Communication - Bureaux-conseil;Yapado BVBA;Hof ter Beuken 16;9090;Melle
jewelry;Yann;Fran?ois Laurentplein, 47;9000;Gent / Gand
Traducteurs;Yamagata Europe;Derbystraat 365;9051;Sint-Denijs-Westrem - Afsnee
Fédérations sportives;Féderation Bruxelloise des Arts Martiaux;Rue Roger Van der Weyden 3 Bo?te 1;1000;Bruxelles
Laitiers (Produits) - Fabr.& Gross;Yakult Belgium SA;Boulevard International 55;1070;Anderlecht
real estate - belgium;Yakimmo;Rue de la Déportation 83;1480;Tubize
Software;Yaka Faire SPRL;Rue Gilles Magnée 90;4430;Ans
Animaux (Pensions pour);Dogami;Fy 10B;4920;Harzé
Droits d'auteurs;MT PROD;Benonchamps 99;6600;Wardin
Filtres ? liquides;Auto Export Business Mubarak BVBA;Nieuwevaart 124A;9000;Gent
Echappement (Pots & Syst?mes d');Gerhar BVBA;Eduard Robeynslaan 55;3290;Diest
Fitness centres;Pilates &amp Studios SPRL;Avenue De Fré 82;1180;Uccle
adult education;Yellow Pi Productions;;8301;Heist
Machines d'emballage;Xyrinx BVBA;Stuivenbergbaan 113;2800;Mechelen
Ch?ssis;Xylonis;Avenue du Parc 46;1060;Saint-Gilles
Equipements militaires & de police;Xtremessentials;Van Dijcklaan 57;1910;Kampenhout
Autos - Tuning;XRP BVBA;Hasseltsesteenweg 447;3700;Tongeren
Structures gonflables;X-treme NV;Frans Smoldersstraat 30B;1932;Sint-Stevens-Woluwe
landscape architects;Kesteloot/Timme [XTRA!VERT TUINARCHITECTUUR];Collegelaan, 106;2100;Antwerpen / Anvers
data processing - software;X-Trade Business Software;Lothariusstraat 15;9032;Wondelgem
Evénements (Organisation d');X-Tra BVBA;Grote Steenweg 571 Bo?te 3;2600;Berchem
Software;Xtenso NV;Generaal De Wittelaan 19 Bo?te 3;2800;Mechelen
Stands pour expositions;Xtension BVBA;Diksmuidsesteenweg 249;8800;Roeselare
automobile - parts & access. - retail;Xtec;;8840;Westrozebeke
data processing - computer maintenance & repair;X-Sys;;2242;Pulderbos
graphic designers;Absolut Graphic;;4000;Li?ge
Gestion & organisation de sociétés - Bureaux conseil;X-Stra BVBA;Tennisstraat 4;9900;Eeklo
Imagerie médicale - Appareils & Fournit;X-Sanatec;Nieuwlandlaan 321B;3200;Aarschot
Internet - Services;Evonet Belgium NV;Burgemeester Maenhautstraat 44B;9820;Merelbeke
Cliniques vétérinaires;X-Ray Equipment Verachtert BVBA;Bisschoppenhoflaan 662;2100;Deurne
creation of websites;Vandenheede/Ann [X-PROJECTS];Noordlaan, 105;9230;Wetteren
Stands pour expositions;Xposant N SPRL;Rue de Longeau 26;5100;Dave
Copies;Xpo NV;Vredebaan 5;2640;Mortsel
Tennis & accessoires;Xplore Diving BVBA;Sint-Truidensesteenweg 220A;3300;Tienen
travel agencies;Coudenys Fred [XPLORE360°];Nati?nlaan, 178;8300;Knokke-Heist
management consultants;Xplicit;;1981;Hofstade
computers: maintenance and repair;Pierson/Xavier [XPIERSON];Quai de l'Ecluse, 7;5000;Namur / Namen
Ordinateurs;Xpertnet BVBA;Moerstraat 41;8560;Wevelgem
communication consultants;Xperienz;Raamstraat, 19;3500;Hasselt
management consultants;XPepharma SA;;1300;Wavre
Signalisation routi?re & de chantiers;Traficon NV;Vlamingstraat 19;8560;Wevelgem
Traffic data collection equipment;Traficon Nv;;;